iter	Passed	Remaining
0	524	418805
1	905	361410
2	1283	341112
3	1650	328474
4	2008	319313
5	2387	315959
6	2707	306756
7	3084	305414
8	3399	298805
9	3776	298311
10	4132	296433
11	4431	290979
12	4825	292137
13	5227	293509
14	5660	296212
15	5966	292352
16	6337	291889
17	6720	291983
18	7090	291457
19	7524	293451
20	7916	293662
21	8339	294901
22	8737	295160
23	9120	294896
24	9465	293421
25	9766	290750
26	10177	291392
27	10536	290515
28	10963	291470
29	11348	291268
30	11739	291216
31	12062	289489
32	12382	287801
33	12763	287546
34	13133	287069
35	13457	285589
36	13854	285711
37	14235	285454
38	14594	284782
39	14982	284666
40	15311	283445
41	15666	282751
42	16087	283215
43	16532	284052
44	16859	282863
45	17189	281758
46	17578	281623
47	17960	281382
48	18350	281249
49	18742	281143
50	19071	280089
51	19437	279601
52	19834	279558
53	20175	278727
54	20580	278769
55	20978	278711
56	21329	278037
57	21653	277014
58	22036	276764
59	22370	275906
60	22833	276622
61	23296	277301
62	23736	277677
63	24143	277648
64	24526	277336
65	24994	277967
66	25414	278043
67	25737	277057
68	26201	277585
69	26581	277203
70	26936	276571
71	27309	276128
72	27618	275047
73	28029	274995
74	28436	274883
75	28774	274119
76	29091	273155
77	29438	272494
78	29861	272530
79	30277	272494
80	30699	272503
81	31092	272245
82	31498	272103
83	31877	271721
84	32257	271346
85	32556	270291
86	32959	270112
87	33364	269947
88	33675	269025
89	34081	268868
90	34499	268789
91	34928	268801
92	35287	268263
93	35700	268129
94	36130	268126
95	36527	267870
96	36975	267976
97	37397	267886
98	37813	267748
99	38143	267007
100	38466	266215
101	38800	265514
102	39107	264643
103	39442	263960
104	39887	264018
105	40279	263717
106	40684	263501
107	41093	263299
108	41489	263019
109	41885	262733
110	42226	262109
111	42648	261983
112	43046	261704
113	43475	261617
114	43814	260982
115	44140	260274
116	44474	259626
117	44903	259524
118	45315	259324
119	45651	258689
120	46045	258389
121	46436	258062
122	46854	257892
123	47279	257750
124	47687	257511
125	48040	256980
126	48512	257078
127	48976	257126
128	49374	256824
129	49712	256212
130	50147	256097
131	50558	255855
132	50964	255587
133	51316	255049
134	51743	254885
135	52172	254723
136	52511	254126
137	52946	253987
138	53368	253788
139	53767	253476
140	54178	253218
141	54602	253018
142	55033	252847
143	55475	252722
144	55904	252535
145	56322	252291
146	56750	252097
147	57170	251858
148	57609	251701
149	57971	251208
150	58328	250694
151	58648	250027
152	59067	249784
153	59545	249783
154	59891	249223
155	60309	248971
156	60734	248742
157	61123	248362
158	61607	248367
159	62032	248129
160	62436	247808
161	62907	247748
162	63295	247355
163	63664	246892
164	64113	246739
165	64589	246685
166	64984	246319
