feature_name,feature_group,data_type,recommended_use,leakage_risk
appearance_id,IDENTIFIER,str,DO_NOT_USE,HIGH
game_id,IDENTIFIER,int64,DO_NOT_USE,HIGH
player_id,IDENTIFIER,int64,DO_NOT_USE,HIGH
player_club_id,IDENTIFIER,int64,DO_NOT_USE,HIGH
competition_id,IDENTIFIER,str,DO_NOT_USE,HIGH
season,MATCH_CONTEXT,int64,FEATURE,LOW
date,MATCH_CONTEXT,datetime64[us],FEATURE,LOW
home_away,MATCH_CONTEXT,str,FEATURE,LOW
attendance,MATCH_CONTEXT,float64,FEATURE,LOW
stadium,MATCH_CONTEXT,str,FEATURE,LOW
country_name,MATCH_CONTEXT,str,FEATURE,LOW
competition_type,MATCH_CONTEXT,str,FEATURE,LOW
confederation,MATCH_CONTEXT,str,FEATURE,LOW
home_club_name,MATCH_CONTEXT,str,FEATURE,LOW
away_club_name,MATCH_CONTEXT,str,FEATURE,LOW
minutes_played,MATCH_PERFORMANCE,int64,TARGET_OR_FEATURE,HIGH
goals,MATCH_PERFORMANCE,int64,TARGET_OR_FEATURE,HIGH
assists,MATCH_PERFORMANCE,int64,TARGET_OR_FEATURE,HIGH
yellow_cards,MATCH_PERFORMANCE,int64,TARGET_OR_FEATURE,HIGH
red_cards,MATCH_PERFORMANCE,int64,TARGET_OR_FEATURE,HIGH
goal_contributions,MATCH_PERFORMANCE,int64,TARGET_OR_FEATURE,HIGH
goal_difference,MATCH_PERFORMANCE,int64,TARGET_OR_FEATURE,HIGH
result,MATCH_PERFORMANCE,str,TARGET_OR_FEATURE,HIGH
age,PLAYER_PROFILE,float64,FEATURE,LOW
height_in_cm,PLAYER_PROFILE,float64,FEATURE,LOW
foot,PLAYER_PROFILE,str,FEATURE,LOW
position,PLAYER_PROFILE,str,FEATURE,LOW
sub_position,PLAYER_PROFILE,str,FEATURE,LOW
country_of_citizenship,PLAYER_PROFILE,str,FEATURE,LOW
international_caps,PLAYER_EXPERIENCE,float64,FEATURE,LOW
international_goals,PLAYER_EXPERIENCE,float64,FEATURE,LOW
goal_per_cap,PLAYER_EXPERIENCE,float64,FEATURE,LOW
has_national_team_experience,PLAYER_EXPERIENCE,bool,FEATURE,LOW
market_value_before_match,MARKET,float64,FEATURE_OR_TARGET,MEDIUM
highest_market_value_in_eur,MARKET,float64,FEATURE_OR_TARGET,MEDIUM
market_value_ratio,MARKET,float64,FEATURE_OR_TARGET,MEDIUM
market_value_tier,MARKET,category,FEATURE_OR_TARGET,MEDIUM
log_market_value,MARKET,float64,FEATURE_OR_TARGET,MEDIUM
value_pct_of_peak,MARKET,float64,FEATURE_OR_TARGET,MEDIUM
avg_xG,UNDERSTAT,float64,FEATURE,LOW
avg_xA,UNDERSTAT,float64,FEATURE,LOW
avg_shots,UNDERSTAT,float64,FEATURE,LOW
avg_key_passes,UNDERSTAT,float64,FEATURE,LOW
avg_xGChain,UNDERSTAT,float64,FEATURE,LOW
avg_xGBuildup,UNDERSTAT,float64,FEATURE,LOW
avg_npxG,UNDERSTAT,float64,FEATURE,LOW
xG_to_xA_ratio,UNDERSTAT,float64,FEATURE,LOW
starter_flag,ENGINEERED,bool,FEATURE,MEDIUM
full_match_flag,ENGINEERED,bool,FEATURE,MEDIUM
substitute_flag,ENGINEERED,bool,FEATURE,MEDIUM
scored_flag,ENGINEERED,bool,FEATURE,MEDIUM
assisted_flag,ENGINEERED,bool,FEATURE,MEDIUM
goal_contribution_flag,ENGINEERED,bool,FEATURE,MEDIUM
card_flag,ENGINEERED,bool,FEATURE,MEDIUM
win_flag,ENGINEERED,bool,FEATURE,MEDIUM
draw_flag,ENGINEERED,bool,FEATURE,MEDIUM
loss_flag,ENGINEERED,bool,FEATURE,MEDIUM
big_win_flag,ENGINEERED,bool,FEATURE,MEDIUM
big_loss_flag,ENGINEERED,bool,FEATURE,MEDIUM
prime_age_flag,ENGINEERED,bool,FEATURE,MEDIUM
veteran_flag,ENGINEERED,bool,FEATURE,MEDIUM
finisher_flag,ENGINEERED,bool,FEATURE,MEDIUM
creative_player_flag,ENGINEERED,bool,FEATURE,MEDIUM
analytics_coverage_flag,ENGINEERED,object,FEATURE,MEDIUM
is_goalkeeper,ENGINEERED,bool,FEATURE,MEDIUM
is_defender,ENGINEERED,bool,FEATURE,MEDIUM
is_midfielder,ENGINEERED,bool,FEATURE,MEDIUM
is_attacker,ENGINEERED,bool,FEATURE,MEDIUM
